,stop_id,stop_name,images
164,8502104,Hunzenschwil,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Hunzenschwil.jpg
165,8502105,Othmarsingen,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Othmarsingen.jpg
166,8502106,Mägenwil,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
167,8502110,Dulliken,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Dulliken.jpg
168,8502111,Däniken,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
169,8502112,Schönenwerd SO,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
170,8502113,Aarau,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Aarau.jpg
171,8502114,Rupperswil,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Rupperswil.jpg
172,8502115,Wildegg,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Wildegg.jpg
173,8502116,Schinznach Bad,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Schinznach_Bad.jpg
174,8502119,Lenzburg,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Lenzburg.jpg
175,8502128,Holderbank AG,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Holderbank_AG.jpg
176,8502200,Ebikon,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Ebikon.jpg
177,8502201,Gisikon-Root,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Gisikon-Root.jpg
178,8502202,Rotkreuz,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Rotkreuz.jpg
179,8502203,Cham,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Cham.jpg
180,8502204,Zug,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Zug.jpg
181,8502205,Walchwil,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Walchwil.jpg
182,8502206,Baar,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Baar.jpg
183,8502208,Horgen Oberdorf,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Horgen_Oberdorf.jpg
184,8502209,Oberrieden Dorf,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Oberrieden_Dorf.jpg
185,8502211,Hendschiken,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Hendschiken.jpg
186,8502212,Dottikon-Dintikon,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Dottikon-Dintikon.jpg
187,8502213,Wohlen AG,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
188,8502214,Boswil-Bünzen,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
189,8502215,Muri AG,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Muri_AG.jpg
190,8502216,Benzenschwil,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Benzenschwil.jpg
191,8502217,Mühlau,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
192,8502218,Sins,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Sins.jpg
193,8502219,Oberrüti,https://sun9-6.userapi.com/c855024/v855024387/10c993/7tcCa7QJyx0.jpg
194,8502220,Urdorf,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Urdorf.jpg
195,8502221,Birmensdorf ZH,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Birmensdorf_ZH.jpg
196,8502222,Bonstetten-Wettswil,https://www.schienenverkehr-schweiz.ch/Bilder/Bahnhof/Klein/Bonstetten-Wettswil.jpg
