,stop_id,stop_name,event_name,description,categories,url
527,8503201,Rüschlikon,ZKB Prime Tower,,,https://go.sygic.com/travel/place?id=poi:8784267
528,8503201,Rüschlikon,Parkshaus Prime Tower,,['traveling'],https://go.sygic.com/travel/place?id=poi:7027007
529,8503202,Thalwil,Felsenegg-Girstel TV-tower,The Felsenegg Tower is a broadcasting tower located nearby Felseneggbahn mountain station on the Felsenegg vantage point in the canton of…,,https://go.sygic.com/travel/place?id=poi:5179412
530,8503203,Oberrieden,Felsenegg-Girstel TV-tower,The Felsenegg Tower is a broadcasting tower located nearby Felseneggbahn mountain station on the Felsenegg vantage point in the canton of…,,https://go.sygic.com/travel/place?id=poi:5179412
531,8503204,Horgen,Felsenegg-Girstel TV-tower,The Felsenegg Tower is a broadcasting tower located nearby Felseneggbahn mountain station on the Felsenegg vantage point in the canton of…,,https://go.sygic.com/travel/place?id=poi:5179412
532,8503206,Wädenswil,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:11744431
533,8503207,Richterswil,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:11744431
534,8503207,Richterswil,Tower Sports,,['shopping'],https://go.sygic.com/travel/place?id=poi:10933929
535,8503208,Bäch,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:11905595
536,8503208,Bäch,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:11744431
537,8503208,Bäch,Tower Sports,,['shopping'],https://go.sygic.com/travel/place?id=poi:10933929
538,8503209,Pfäffikon SZ,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:11905595
539,8503209,Pfäffikon SZ,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:11744431
540,8503209,Pfäffikon SZ,Tower Sports,,['shopping'],https://go.sygic.com/travel/place?id=poi:10933929
541,8503210,Freienbach SBB,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:11905595
542,8503210,Freienbach SBB,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:11744431
543,8503210,Freienbach SBB,Tower Sports,,['shopping'],https://go.sygic.com/travel/place?id=poi:10933929
544,8503211,Altendorf,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:11905595
545,8503211,Altendorf,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:11744431
546,8503211,Altendorf,Tower Sports,,['shopping'],https://go.sygic.com/travel/place?id=poi:10933929
547,8503220,Lachen,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:11905595
548,8503220,Lachen,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:11744431
549,8503220,Lachen,Tower Sports,,['shopping'],https://go.sygic.com/travel/place?id=poi:10933929
550,8503221,Siebnen-Wangen,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:11905595
551,8503221,Siebnen-Wangen,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:11744431
552,8503221,Siebnen-Wangen,Tower Sports,,['shopping'],https://go.sygic.com/travel/place?id=poi:10933929
553,8503222,Schübelbach-Buttikon,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:11905595
554,8503301,Pfäffikon ZH,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:19015127
555,8503302,Fehraltorf,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:19015127
556,8503303,Illnau,Observation Tower,,['hiking'],https://go.sygic.com/travel/place?id=poi:19015127
